CustomerID,Lookalike1,Lookalike2,Lookalike3
C0001,"('C0137', 0.9959126526309704)","('C0152', 0.9941795833573235)","('C0107', 0.9520858336674961)"
C0002,"('C0142', 0.9227381553764861)","('C0088', 0.9026520852250701)","('C0134', 0.8784613267418189)"
C0003,"('C0133', 0.9658399822913127)","('C0052', 0.94983219593737)","('C0191', 0.8908775388091351)"
C0004,"('C0113', 0.930282741787746)","('C0102', 0.9030591301959036)","('C0108', 0.8989429590094472)"
C0005,"('C0159', 0.9892476724430751)","('C0186', 0.9279666659374441)","('C0146', 0.8963227171790878)"
C0006,"('C0158', 0.8978962008633448)","('C0171', 0.8816734557255188)","('C0187', 0.8681787559992562)"
C0007,"('C0140', 0.8792447396662206)","('C0092', 0.8788930693880573)","('C0193', 0.8783911724209452)"
C0008,"('C0109', 0.8599775351124415)","('C0139', 0.8270859090113001)","('C0098', 0.8146925791092872)"
C0009,"('C0121', 0.9011458327180681)","('C0010', 0.8586921839815093)","('C0198', 0.8563385169549942)"
C0010,"('C0199', 0.944967079656729)","('C0111', 0.9036531286381025)","('C0103', 0.8830625758311919)"
C0011,"('C0107', 0.9805687034190362)","('C0048', 0.9779068473671977)","('C0152', 0.9395958880954393)"
C0012,"('C0155', 0.9786422172339257)","('C0108', 0.9460863112404982)","('C0013', 0.8972256914407419)"
C0013,"('C0087', 0.9175280829645014)","('C0155', 0.915145108683213)","('C0012', 0.8972256914407419)"
C0014,"('C0198', 0.8578980530453609)","('C0060', 0.8391035024259096)","('C0009', 0.8278676369614438)"
C0015,"('C0144', 0.9425744020172503)","('C0036', 0.8874719528499716)","('C0131', 0.8799222794062929)"
C0016,"('C0183', 0.9954996455817379)","('C0067', 0.887572674846579)","('C0125', 0.8820896385311473)"
C0017,"('C0124', 0.9002351196992139)","('C0075', 0.869053697488677)","('C0051', 0.8181395840540654)"
C0018,"('C0117', 0.8854640994487948)","('C0079', 0.8764353060707254)","('C0026', 0.8596617269673914)"
C0019,"('C0172', 0.9973994894130799)","('C0111', 0.9050747599199686)","('C0103', 0.8724874317968542)"
C0020,"('C0144', 0.8049981619996719)","('C0042', 0.7918128845409355)","('C0176', 0.7891259937524772)"
